"participant","predicate","predicate_number","response"
1,"inform",12,0
1,"confirm",4,0
1,"be right",6,0
1,"prove",2,0
1,"admit",13,0.49
1,"announce",10,0.47
1,"discover",14,0.49
1,"say",8,0
1,"demonstrate",18,0
1,"suggest",17,0
1,"pretend",15,0
1,"be annoyed",9,0.5
1,"hear",16,0.01
1,"know",11,0.48
1,"acknowledge",5,0.49
1,"see",19,0.49
1,"reveal",3,0.5
1,"establish",1,0.01
1,"think",7,0
1,"confess",20,0.51
12,"discover",14,0.99
12,"suggest",17,0.02
12,"be annoyed",9,0.83
12,"demonstrate",18,0.52
12,"reveal",3,0.2
12,"establish",1,0.02
12,"acknowledge",5,0.22
12,"hear",16,0.75
12,"think",7,0.52
12,"pretend",15,0.48
12,"confess",20,0.73
12,"be right",6,0.85
12,"see",19,1
12,"admit",13,0.49
12,"prove",2,0.82
12,"inform",12,1
12,"say",8,0.47
12,"announce",10,0
12,"confirm",4,0
12,"know",11,0.97
23,"know",11,0.67
23,"say",8,0.82
23,"hear",16,0.89
23,"suggest",17,0.51
23,"see",19,0.81
23,"confess",20,0.64
23,"discover",14,0.39
23,"be right",6,0.18
23,"inform",12,0.68
23,"pretend",15,0.62
23,"reveal",3,0.53
23,"acknowledge",5,0.67
23,"think",7,0.39
23,"establish",1,0.57
23,"announce",10,0.59
23,"admit",13,0.68
23,"demonstrate",18,0.27
23,"confirm",4,0.5
23,"be annoyed",9,0.63
23,"prove",2,0.41
33,"announce",10,0.01
33,"pretend",15,0.75
33,"demonstrate",18,0.08
33,"acknowledge",5,1
33,"suggest",17,0.12
33,"establish",1,0.28
33,"reveal",3,0.11
33,"inform",12,0.5
33,"confess",20,0.3
33,"hear",16,1
33,"be annoyed",9,0.98
33,"admit",13,0.38
33,"be right",6,0.04
33,"prove",2,0.24
33,"say",8,0.13
33,"see",19,0.17
33,"confirm",4,0.19
33,"discover",14,0.41
33,"think",7,0.31
33,"know",11,0.28
43,"demonstrate",18,0.15
43,"inform",12,0.14
43,"hear",16,0.58
43,"prove",2,0.17
43,"see",19,0.77
43,"think",7,0.25
43,"be annoyed",9,0.86
43,"announce",10,0.79
43,"acknowledge",5,0.81
43,"say",8,0.14
43,"pretend",15,0.16
43,"discover",14,0.24
43,"confess",20,0.23
43,"know",11,0.73
43,"reveal",3,0.26
43,"suggest",17,0.24
43,"be right",6,0.26
43,"confirm",4,0.21
43,"establish",1,0.2
43,"admit",13,0.19
45,"be annoyed",9,1
45,"be right",6,0.09
45,"inform",12,0.79
45,"announce",10,0.17
45,"say",8,0.2
45,"demonstrate",18,0.2
45,"confess",20,0.78
45,"know",11,0.79
45,"think",7,0.91
45,"reveal",3,0.79
45,"confirm",4,0.22
45,"establish",1,0.18
45,"see",19,0
45,"admit",13,0.11
45,"hear",16,0.17
45,"suggest",17,0.05
45,"acknowledge",5,0.13
45,"prove",2,0.1
45,"discover",14,0.06
45,"pretend",15,0.13
46,"hear",16,1
46,"pretend",15,0
46,"be right",6,0.01
46,"say",8,0.23
46,"demonstrate",18,0.76
46,"be annoyed",9,0.98
46,"confess",20,0.5
46,"acknowledge",5,0.74
46,"reveal",3,0.68
46,"see",19,0.51
46,"establish",1,0.3
46,"inform",12,0.99
46,"discover",14,0.99
46,"confirm",4,0.01
46,"announce",10,1
46,"prove",2,0.03
46,"think",7,0.03
46,"suggest",17,0.03
46,"know",11,0.97
46,"admit",13,0.02
47,"confess",20,0.19
47,"hear",16,0.85
47,"establish",1,0.21
47,"prove",2,0.25
47,"see",19,0.67
47,"acknowledge",5,0.97
47,"confirm",4,0.33
47,"demonstrate",18,0.36
47,"inform",12,0.77
47,"discover",14,0.76
47,"know",11,0.93
47,"announce",10,0.23
47,"pretend",15,0.17
47,"suggest",17,0.19
47,"admit",13,0.78
47,"reveal",3,0.25
47,"think",7,0.2
47,"be annoyed",9,0.97
47,"be right",6,0.24
47,"say",8,0.29
2,"admit",13,0.78
2,"see",19,0.68
2,"know",11,0.58
2,"say",8,0
2,"acknowledge",5,0
2,"confess",20,0.58
2,"announce",10,0
2,"inform",12,0.5
2,"be right",6,0
2,"demonstrate",18,0
2,"establish",1,0
2,"reveal",3,0.26
2,"discover",14,0.81
2,"prove",2,0
2,"confirm",4,0
2,"hear",16,0.31
2,"suggest",17,0
2,"be annoyed",9,1
2,"think",7,0
2,"pretend",15,0
3,"establish",1,0.17
3,"know",11,0.9
3,"see",19,0.22
3,"be annoyed",9,0.94
3,"think",7,0.11
3,"hear",16,0.87
3,"admit",13,0.12
3,"confirm",4,0.28
3,"confess",20,0.7
3,"say",8,0.15
3,"acknowledge",5,0.23
3,"suggest",17,0.06
3,"announce",10,0.17
3,"prove",2,0.04
3,"be right",6,0.04
3,"reveal",3,0.26
3,"inform",12,0.79
3,"pretend",15,0.05
3,"demonstrate",18,0.04
3,"discover",14,0.8
4,"announce",10,0.16
4,"reveal",3,0.13
4,"hear",16,0.16
4,"know",11,0.16
4,"confess",20,0.19
4,"say",8,0.22
4,"establish",1,0.21
4,"think",7,0.09
4,"pretend",15,0.22
