"participant","predicate","predicate_number","context","context_number","response"
1,"pretend",15,"13L",26,0.63
1,"establish",1,"18L",32,0.48
1,"be right",6,"6L",30,0.3
1,"know",11,"19H",39,0.52
1,"be annoyed",9,"2L",10,0.43
1,"suggest",17,"5H",20,0.23
1,"demonstrate",18,"7H",24,0.45
1,"reveal",3,"17L",15,0.54
1,"think",7,"10L",36,0.52
1,"see",19,"12L",28,0.51
1,"say",8,"14H",22,0.43
1,"confess",20,"11H",29,0.5
1,"hear",16,"3H",33,0.43
1,"discover",14,"15L",7,0.5
1,"confirm",4,"16H",17,0.46
1,"prove",2,"4L",12,0.4
1,"admit",13,"9H",35,0.32
1,"acknowledge",5,"20L",27,0.56
1,"inform",12,"8H",1,0.66
1,"announce",10,"1H",13,0.5
2,"demonstrate",18,"7L",19,0.15
2,"confirm",4,"5L",38,0.03
2,"hear",16,"8L",23,0.27
2,"see",19,"1H",13,0.9
2,"announce",10,"17H",21,0.26
2,"be annoyed",9,"9L",16,0.16
2,"know",11,"3L",9,0.32
2,"acknowledge",5,"16H",17,0.18
2,"be right",6,"14L",14,0.33
2,"think",7,"2H",25,0.16
2,"confess",20,"15L",7,0.11
2,"say",8,"19H",39,0.12
2,"admit",13,"4L",12,0.01
2,"inform",12,"18H",6,0.05
2,"pretend",15,"10L",36,0
2,"prove",2,"13L",26,0.33
2,"reveal",3,"6H",5,0.04
2,"establish",1,"11H",29,0.1
2,"suggest",17,"12H",2,0.24
2,"discover",14,"20H",3,0.21
3,"admit",13,"4H",40,0.02
3,"confess",20,"7L",19,0.56
3,"reveal",3,"16L",31,0.36
3,"pretend",15,"17L",15,0.53
3,"announce",10,"5H",20,0.24
3,"discover",14,"8H",1,0.61
3,"think",7,"15L",7,0.43
3,"hear",16,"19L",4,0.31
3,"establish",1,"18H",6,0.54
3,"know",11,"13L",26,0.14
3,"suggest",17,"1L",37,0.11
3,"be annoyed",9,"12H",2,0.21
3,"demonstrate",18,"11H",29,0.42
3,"confirm",4,"3L",9,0.56
3,"prove",2,"6H",5,0.72
3,"acknowledge",5,"14H",22,0.51
