"participant","predicate","predicate_number","response"
1,"prove",2,0.58
1,"be annoyed",9,0.47
1,"discover",14,0.67
1,"acknowledge",5,0.72
1,"pretend",15,0.67
1,"know",11,0.68
1,"hear",16,0.76
1,"suggest",17,0.7
1,"announce",10,0.78
1,"confirm",4,0.69
1,"think",7,0.77
1,"establish",1,0.82
1,"inform",12,0.74
1,"be right",6,0.7
1,"demonstrate",18,0.81
1,"admit",13,0.76
1,"say",8,0.69
1,"reveal",3,0.75
1,"see",19,0.8
1,"confess",20,0.73
12,"see",19,0.56
12,"hear",16,0.75
12,"establish",1,0.53
12,"discover",14,0.68
12,"be right",6,0.46
12,"confess",20,0.79
12,"acknowledge",5,0.62
12,"demonstrate",18,0.75
12,"confirm",4,0.77
12,"inform",12,0.56
12,"announce",10,0.77
12,"know",11,0.6
12,"suggest",17,0.85
12,"admit",13,0.65
12,"prove",2,0.9
12,"pretend",15,0.64
12,"reveal",3,0.82
12,"be annoyed",9,0.72
12,"think",7,0.76
12,"say",8,0.55
23,"see",19,0.88
23,"acknowledge",5,0.98
23,"say",8,0.28
23,"reveal",3,0.63
23,"know",11,0.78
23,"think",7,0.14
23,"prove",2,0.33
23,"admit",13,0.84
23,"be right",6,0.08
23,"hear",16,0.64
23,"announce",10,0.49
23,"confess",20,0.35
23,"discover",14,0.79
23,"be annoyed",9,0.88
23,"confirm",4,0.57
23,"pretend",15,0.3
23,"inform",12,0.82
23,"suggest",17,0.35
23,"establish",1,0.55
23,"demonstrate",18,0.3
34,"admit",13,0.57
34,"discover",14,0.4
34,"be annoyed",9,0.77
34,"say",8,0.41
34,"prove",2,0.27
34,"know",11,0.33
34,"see",19,0.27
34,"confirm",4,0.57
34,"demonstrate",18,0.35
34,"be right",6,0.36
34,"hear",16,0.66
34,"think",7,0.25
34,"acknowledge",5,0.28
34,"pretend",15,0.29
34,"announce",10,0.13
34,"suggest",17,0.4
34,"reveal",3,0.65
34,"establish",1,0.4
34,"inform",12,0.31
34,"confess",20,0.43
45,"admit",13,0.7
45,"see",19,0.06
45,"acknowledge",5,1
45,"suggest",17,0.46
45,"discover",14,0.83
45,"be annoyed",9,0.98
45,"confess",20,0.35
45,"hear",16,0.62
45,"know",11,0.85
45,"establish",1,0.05
45,"think",7,0
45,"say",8,0
45,"reveal",3,0.49
45,"be right",6,0
45,"inform",12,0.92
45,"prove",2,0
45,"announce",10,0.06
45,"confirm",4,0
45,"pretend",15,0.2
45,"demonstrate",18,0
47,"confirm",4,0.72
47,"demonstrate",18,0.93
47,"announce",10,0.25
47,"confess",20,0.28
47,"reveal",3,0.62
47,"say",8,0.36
47,"admit",13,0.77
47,"hear",16,0.63
47,"discover",14,0.35
47,"be right",6,0.11
47,"establish",1,0.31
47,"prove",2,0.26
47,"suggest",17,0.11
47,"pretend",15,0.22
47,"know",11,0.34
47,"be annoyed",9,0.67
47,"acknowledge",5,0.34
47,"think",7,0.18
47,"see",19,0.32
47,"inform",12,0.65
48,"hear",16,0.87
48,"acknowledge",5,0.95
48,"prove",2,0.2
48,"think",7,0.15
48,"establish",1,0.33
48,"announce",10,0.58
48,"be annoyed",9,0.89
48,"see",19,0.77
48,"confirm",4,0.24
48,"be right",6,0.22
48,"pretend",15,0.19
48,"say",8,0.18
48,"confess",20,0.59
48,"reveal",3,0.85
48,"inform",12,0.92
48,"suggest",17,0.39
48,"discover",14,0.58
48,"know",11,0.91
48,"admit",13,0.99
48,"demonstrate",18,0.78
49,"reveal",3,0
49,"admit",13,0.22
49,"confess",20,0.56
49,"think",7,0
49,"prove",2,0
49,"see",19,0.88
49,"be right",6,1
49,"hear",16,1
49,"inform",12,1
49,"establish",1,1
49,"suggest",17,0.3
49,"discover",14,1
49,"announce",10,1
49,"say",8,0.15
49,"confirm",4,0
49,"be annoyed",9,1
49,"know",11,1
49,"demonstrate",18,0.51
49,"pretend",15,0.04
49,"acknowledge",5,0.94
2,"know",11,0.95
2,"say",8,0.1
2,"admit",13,0.95
2,"demonstrate",18,0.3
2,"announce",10,0.68
2,"confirm",4,0.15
2,"think",7,0.12
2,"be annoyed",9,0.81
2,"pretend",15,0.61
2,"inform",12,0.91
2,"discover",14,0.99
2,"prove",2,0.23
2,"reveal",3,0.73
2,"establish",1,0.49
2,"acknowledge",5,0.72
2,"see",19,0.93
2,"hear",16,0.7
2,"be right",6,0.18
2,"confess",20,0.95
2,"suggest",17,0.2
3,"confess",20,0.91
3,"know",11,0.58
3,"think",7,0.81
3,"pretend",15,0.67
3,"hear",16,0.82
3,"announce",10,0.92
3,"acknowledge",5,0.33
3,"confirm",4,0.75
3,"reveal",3,0.84
3,"admit",13,0.84
